Catalog Nr.	Type status	Reservierung	Family	Genus Name	Species Name	Author	Date descr.	_Species	revision	Determined by	Date det.	Country	Admin.	Locality	Lat	Long	Lat_dec	Long_dec	coord_uncertainty_flag	coord_info	Ecology	Altitude m	Coll_Year	Coll_Date	Collector	Collectors	m	f	j	Anzahl	Notes	Gender
ZFMK Ar00001	PT		Theraphosidae	Ornithoctonus	aureotibialis	Wirth & Striffler	2005	Ornithoctonus aureotibialis Wirth & Striffler 2005		Wirth & Striffler	2005	THAILAND		Bangkok	~13.8 N	~100.6 E	13,8	100,6	ca.						P. Schmidt	P. Schmidt		1		1		female
ZFMK Ar00002	PT		Theraphosidae	Ornithoctonus	aureotibialis	Wirth & Striffler	2005	Ornithoctonus aureotibialis Wirth & Striffler 2005		Wirth & Striffler	2005	THAILAND		Southern Thailand									2000	xii.2000	M. Bullmer	M. Bullmer	1			1		male
ZFMK Ar00003	PT		Theraphosidae	Haplopelma	longipes	Wirth & Striffler	2005	Haplopelma longipes Wirth & Striffler 2005		Wirth & Striffler	2005	THAILAND											2001	3.iii.2001	S. Capaninni	S. Capaninni		1		1		female
ZFMK Ar00004	PT		Theraphosidae	Haplopelma	longipes	Wirth & Striffler	2005	Haplopelma longipes Wirth & Striffler 2005		Wirth & Striffler	2005	THAILAND											2001	15.xii.2001	T. Klein	T. Klein	1			1		male
ZFMK Ar00005	HT		Pholcidae	Nita	elsaff	Huber & El-Hennawy	2007	Nita elsaff Huber & El-Hennawy 2007		Huber	2006	EGYPT		El Saff, Giza	29°57'N	31°28'E	29,95	31,46667					2003	1.iii.2003	M. Mohafez	M. Mohafez	1	1		2	1 f non-type	mixed
ZFMK Ar00006			Pholcidae	Nita	elsaff	Huber & El-Hennawy	2007	Nita elsaff Huber & El-Hennawy 2007		Huber	2006	EGYPT		Cairo	30°06.7'N	31°17.8'E	30,11167	31,29667			in house		2004	19.i.2004	H. El-Hennawy	H. El-Hennawy		1		1		female
ZFMK Ar00007			Pholcidae	Nita	elsaff	Huber & El-Hennawy	2007	Nita elsaff Huber & El-Hennawy 2007		Huber	2006	EGYPT		Cairo	30°06.7'N	31°17.8'E	30,11167	31,29667			in house		2005	22.iii.2005	H. El-Hennawy	H. El-Hennawy	1			1		male
ZFMK Ar00008			Pholcidae	Nita	elsaff	Huber & El-Hennawy	2007	Nita elsaff Huber & El-Hennawy 2007		Huber	2006	EGYPT		Cairo	30°06.7'N	31°17.8'E	30,11167	31,29667			in house		2005	26.iii.2005	H. El-Hennawy	H. El-Hennawy	1			1		male
ZFMK Ar00009			Pholcidae	Ninetis	toliara	Huber & El-Hennawy	2007	Ninetis toliara Huber & El-Hennawy 2007		Huber	2006	MADAGASCAR		Isalo	23°12'S	45°05'E	-23,2	45,08333					1995	22.x.1995	T. Kopf	T. Kopf		1		1		female
ZFMK Ar00010			Pholcidae	Ninetis	namibiae	Huber	2000	Ninetis namibiae Huber 2000		Huber	2006	NAMIBIA		Etosha National Park	19°02'S	16°29'E	-19,03333	16,48333					2006	xi.2006	A. Russell-Smith	A. Russell-Smith	4	1		5		mixed
ZFMK Ar00011			Pholcidae	Ninetis	namibiae	Huber	2000	Ninetis namibiae Huber 2000		Huber	2006	NAMIBIA		Etosha National Park	19°02'S	16°29'E	-19,03333	16,48333					1997	17.i.1997	A. Russell-Smith	A. Russell-Smith	1			1		male
