Acc. Nr.	specimen ID	Dep. Acc. Nr.	BOLD Process ID	COI-5P Accession	Institut
FBPIS001BayFi 0838	513087	FBPIS001	FBPIS001-10	HM391984	ZSM
FBPIS002BayFi 2622	513088	FBPIS002	FBPIS002-10	HM391985	ZSM
FBPIS003BayFi 3011	513089	FBPIS003	FBPIS003-10	HM391986	ZSM
FBPIS004BayFi 6840	513090	FBPIS004	FBPIS004-10	HM391987	ZSM
FBPIS005BayFi 7649	513091	FBPIS005	FBPIS005-10	HM391988	ZSM
FBPIS006BayFi 8533	513092	FBPIS006	FBPIS006-10	HM391989	ZSM
FBPIS012BayFi 7334	513098	FBPIS012	FBPIS012-10	HM391995	ZSM
FBPIS013BayFi 7547	513099	FBPIS013	FBPIS013-10	HM391996	ZSM
FBPIS014BayFi 7804	513100	FBPIS014	FBPIS014-10	HM391997	ZSM
FBPIS015BayFi 8289	513101	FBPIS015	FBPIS015-10	HM391998	ZSM
FBPIS016BayFi 8381	513102	FBPIS016	FBPIS016-10	HM391999	ZSM
FBPIS017BayFi 8697	513103	FBPIS017	FBPIS017-10	HM392000	ZSM
FBPIS018BayFi 4135	513104	FBPIS018	FBPIS018-10	HM392001	ZSM
FBPIS021BayFi 6773	513106	FBPIS021	FBPIS021-10	HM392004	ZSM
FBPIS022BayFi 7347	513107	FBPIS022	FBPIS022-10	HM392005	ZSM
FBPIS025BayFi 2625	513120	FBPIS025	FBPIS025-10	HM392008	ZSM
FBPIS026BayFi 2626	513121	FBPIS026	FBPIS026-10	HM392009	ZSM
FBPIS027BayFi 4745	513122	FBPIS027	FBPIS027-10	HM392010	ZSM
FBPIS028BayFi 4746	513123	FBPIS028	FBPIS028-10	HM392011	ZSM
FBPIS029BayFi 4747	513124	FBPIS029	FBPIS029-10	HM392012	ZSM
FBPIS030BayFi 0793	513378	FBPIS030	FBPIS030-10	HM392013	ZSM
FBPIS032BayFi 4177	513380	FBPIS032	FBPIS032-10	HM392015	ZSM
FBPIS033BayFi 5489	513381	FBPIS033	FBPIS033-10	HM392016	ZSM
FBPIS034BayFi 6422	513382	FBPIS034	FBPIS034-10	HM392017	ZSM
FBPIS035BayFi 8269	513383	FBPIS035	FBPIS035-10	HM392018	ZSM
FBPIS037BayFi 6659	513125	FBPIS037	FBPIS037-10	KM373652	ZSM
FBPIS038BayFi 7851	513126	FBPIS038	FBPIS038-10	HM392020	ZSM
FBPIS039BayFi 7852	513127	FBPIS039	FBPIS039-10	HM392021	ZSM
FBPIS040BayFi 8250	513128	FBPIS040	FBPIS040-10	HM392022	ZSM
FBPIS041BayFi 1022	513129	FBPIS041	FBPIS041-10	HM392023	ZSM
FBPIS049BayFi 5974	513175	FBPIS049	FBPIS049-10	HM392031	ZSM
FBPIS050BayFi 7477	513176	FBPIS050	FBPIS050-10	HM392032	ZSM
FBPIS051BayFi 8299	513177	FBPIS051	FBPIS051-10	HM392033	ZSM
FBPIS052BayFi 8705	513178	FBPIS052	FBPIS052-10	HM392034	ZSM
FBPIS058BayFi 0774	513183	FBPIS058	FBPIS058-10	HM392040	ZSM
FBPIS059BayFi 5580	513184	FBPIS059	FBPIS059-10	HM392041	ZSM
FBPIS060BayFi 7163	513185	FBPIS060	FBPIS060-10	HM392042	ZSM
FBPIS061BayFi 7288	513186	FBPIS061	FBPIS061-10	HM392043	ZSM
FBPIS062BayFi 7545	513187	FBPIS062	FBPIS062-10	HM392044	ZSM
FBPIS063BayFi 7644	513188	FBPIS063	FBPIS063-10	HM392045	ZSM
FBPIS064BayFi 6914	513189	FBPIS064	FBPIS064-10	HM392046	ZSM
FBPIS065BayFi 7430	513190	FBPIS065	FBPIS065-10	HM392047	ZSM
FBPIS068BayFi 2883	513247	FBPIS068	FBPIS068-10	HM392050	ZSM
FBPIS073BayFi 1882	513197	FBPIS073	FBPIS073-10	HM392055	ZSM
FBPIS075BayFi 4384	513198	FBPIS075	FBPIS075-10	HM392057	ZSM
FBPIS076BayFi 6782	513199	FBPIS076	FBPIS076-10	HM392058	ZSM
FBPIS080BayFi 0029	513204	FBPIS080	FBPIS080-10	HM392062	ZSM
FBPIS081BayFi 2242	513205	FBPIS081	FBPIS081-10	HM392063	ZSM
FBPIS082BayFi 5289	513206	FBPIS082	FBPIS082-10	HM392064	ZSM
FBPIS083BayFi 6684	513207	FBPIS083	FBPIS083-10	HM392065	ZSM
FBPIS084BayFi 7438	513208	FBPIS084	FBPIS084-10	HM392066	ZSM
FBPIS085BayFi 8252	513209	FBPIS085	FBPIS085-10	HM392067	ZSM
FBPIS088BayFi 7625	513219	FBPIS088	FBPIS088-10	HM392070	ZSM
FBPIS089BayFi 8463	513220	FBPIS089	FBPIS089-10	HM392071	ZSM
FBPIS090BayFi 8464	513221	FBPIS090	FBPIS090-10	HM392072	ZSM
FBPIS091BayFi 0299	513248	FBPIS091	FBPIS091-10	HM392073	ZSM
FBPIS092BayFi 0300	513249	FBPIS092	FBPIS092-10	HM392074	ZSM
FBPIS093BayFi 1837	513250	FBPIS093	FBPIS093-10	HM392075	ZSM
FBPIS094BayFi 2114	513251	FBPIS094	FBPIS094-10	HM392076	ZSM
FBPIS095BayFi 4873	513252	FBPIS095	FBPIS095-10	HM392077	ZSM
FBPIS096BayFi 0238	513253	FBPIS096	FBPIS096-10	HM902118	ZSM
FBPIS097BayFi 3004	513254	FBPIS097	FBPIS097-10	HM902119	ZSM
FBPIS098BayFi 3005	513255	FBPIS098	FBPIS098-10	HM902120	ZSM
FBPIS099BayFi 3006	513256	FBPIS099	FBPIS099-10	HM902121	ZSM
FBPIS100BayFi 3007	513257	FBPIS100	FBPIS100-10	HM902122	ZSM
FBPIS101BayFi 3113	513260	FBPIS101	FBPIS101-10	HQ955744	ZSM
FBPIS102BayFi 3114	513261	FBPIS102	FBPIS102-10	HQ955745	ZSM
FBPIS103BayFi 3115	513262	FBPIS103	FBPIS103-10	HQ955746	ZSM
FBPIS104BayFi 3116	513263	FBPIS104	FBPIS104-10	HQ955747	ZSM
FBPIS105BayFi 3117	513264	FBPIS105	FBPIS105-10	HQ955748	ZSM
FBPIS112BayFi 1905	513271	FBPIS112	FBPIS112-10	HQ955750	ZSM
FBPIS113BayFi 1906	513272	FBPIS113	FBPIS113-10	HQ955751	ZSM
FBPIS114BayFi 1907	513273	FBPIS114	FBPIS114-10	HQ955752	ZSM
FBPIS115BayFi 2956	513274	FBPIS115	FBPIS115-10	HM902127	ZSM
FBPIS116BayFi 4862	513275	FBPIS116	FBPIS116-10	HM902128	ZSM
FBPIS117BayFi 4863	513276	FBPIS117	FBPIS117-10	HM902129	ZSM
FBPIS118BayFi 7401	513277	FBPIS118	FBPIS118-10	HM902130	ZSM
FBPIS119BayFi 7402	513278	FBPIS119	FBPIS119-10	HM902131	ZSM
FBPIS121BayFi 4714	513280	FBPIS121	FBPIS121-10	HQ955753	ZSM
FBPIS123BayFi 6985	513282	FBPIS123	FBPIS123-10	HM902134	ZSM
FBPIS126BayFi 1979	513361	FBPIS126	FBPIS126-10	HM902137	ZSM
FBPIS127BayFi 1992	513362	FBPIS127	FBPIS127-10	HM902138	ZSM
FBPIS130BayFi 3518	513363	FBPIS130	FBPIS130-10	HM902141	ZSM
FBPIS131BayFi 2297	513364	FBPIS131	FBPIS131-10	HM902142	ZSM
FBPIS134BayFi 4389	513367	FBPIS134	FBPIS134-10	HQ955756	ZSM
FBPIS135BayFi 6233	513368	FBPIS135	FBPIS135-10	HQ955757	ZSM
FBPIS136BayFi 6870	513369	FBPIS136	FBPIS136-10	JN312695	ZSM
FBPIS137BayFi 7251	513373	FBPIS137	FBPIS137-10	HM902143	ZSM
FBPIS138BayFi 7252	513374	FBPIS138	FBPIS138-10	HM902144	ZSM
FBPIS139BayFi 7253	513375	FBPIS139	FBPIS139-10	HM902145	ZSM
FBPIS142BayFi 4695	513396	FBPIS142	FBPIS142-10	HM902148	ZSM
FBPIS143BayFi 4194	513384	FBPIS143	FBPIS143-10	HM902149	ZSM
FBPIS144BayFi 4775	513385	FBPIS144	FBPIS144-10	HQ955758	ZSM
FBPIS145BayFi 7154	513386	FBPIS145	FBPIS145-10	HM902150	ZSM
FBPIS146BayFi 7579	513387	FBPIS146	FBPIS146-10	HM902151	ZSM
FBPIS148BayFi 6416	513391	FBPIS148	FBPIS148-10	HQ955759	ZSM
FBPIS149BayFi 7003	513392	FBPIS149	FBPIS149-10	HM902153	ZSM
FBPIS150BayFi 7431	513393	FBPIS150	FBPIS150-10	HQ955760	ZSM
FBPIS151BayFi 8156	513394	FBPIS151	FBPIS151-10	HM902154	ZSM
FBPIS152BayFi 8364	513395	FBPIS152	FBPIS152-10	HQ955761	ZSM
FBPIS153BayFi 0915	513397	FBPIS153	FBPIS153-10	HM902155	ZSM
FBPIS154BayFi 1470	513388	FBPIS154	FBPIS154-10	HM902156	ZSM
FBPIS156BayFi 7535	513399	FBPIS156	FBPIS156-10	HM902157	ZSM
FBPIS157BayFi 7711	513400	FBPIS157	FBPIS157-10	HM902158	ZSM
FBPIS158BayFi 1737	513469	FBPIS158	FBPIS158-10	HM902159	ZSM
FBPIS160BayFi 4691	513471	FBPIS160	FBPIS160-10	HM902161	ZSM
FBPIS161BayFi 6608	513472	FBPIS161	FBPIS161-10	HM902162	ZSM
FBPIS163BayFi 5788	513407	FBPIS163	FBPIS163-10	HM902164	ZSM
FBPIS164BayFi 7832	513408	FBPIS164	FBPIS164-10	HM902165	ZSM
FBPIS170BayFi 8827	513417	FBPIS170	FBPIS170-10	HM902170	ZSM
FBPIS171BayFi 0444	513418	FBPIS171	FBPIS171-10	HM902171	ZSM
FBPIS172BayFi 2267	513419	FBPIS172	FBPIS172-10	HM902172	ZSM
FBPIS173BayFi 6912	513420	FBPIS173	FBPIS173-10	HM902173	ZSM
FBPIS174BayFi 7394	513421	FBPIS174	FBPIS174-10	HM902174	ZSM
FBPIS175BayFi 8457	513422	FBPIS175	FBPIS175-10	HM902175	ZSM
FBPIS176BayFi 9009	513435	FBPIS176	FBPIS176-10	HM902176	ZSM
FBPIS177BayFi 9010	513436	FBPIS177	FBPIS177-10	HM902177	ZSM
FBPIS179BayFi 9012	513438	FBPIS179	FBPIS179-10	HM902179	ZSM
FBPIS180BayFi 9013	513439	FBPIS180	FBPIS180-10	HM902180	ZSM
FBPIS183BayFi 6974	513440	FBPIS183	FBPIS183-10	HM902183	ZSM
FBPIS184BayFi 7424	513445	FBPIS184	FBPIS184-10	HM902184	ZSM
FBPIS186BayFi 1687	513475	FBPIS186	FBPIS186-10	HM902186	ZSM
FBPIS187BayFi 1896	513476	FBPIS187	FBPIS187-10	HM902187	ZSM
FBPIS188BayFi 2781	513477	FBPIS188	FBPIS188-10	HM902188	ZSM
FBPIS190BayFi 4790	513479	FBPIS190	FBPIS190-10	HM902190	ZSM
FBPIS193BayFi 2315	513481	FBPIS193	FBPIS193-10	HM392079	ZSM
FBPIS194BayFi 4821	513482	FBPIS194	FBPIS194-10	HM392080	ZSM
FBPIS197BayFi 1840	513485	FBPIS197	FBPIS197-10	HM392082	ZSM
FBPIS198BayFi 1902	513486	FBPIS198	FBPIS198-10	HM392083	ZSM
FBPIS200BayFi 6795	513488	FBPIS200	FBPIS200-10	HQ955762	ZSM
FBPIS207BayFi 7518	513504	FBPIS207	FBPIS207-10	HM392085	ZSM
FBPIS210BayFi 7247	513507	FBPIS210	FBPIS210-10	HM392088	ZSM
FBPIS211BayFi 9036	513495	FBPIS211	FBPIS211-10	HM392089	ZSM
FBPIS212BayFi 9037	513496	FBPIS212	FBPIS212-10	HM392090	ZSM
FBPIS213BayFi 9038	513497	FBPIS213	FBPIS213-10	HM392091	ZSM
FBPIS214BayFi 6149	513508	FBPIS214	FBPIS214-10	HM392092	ZSM
