lfd. Nr	Tape No	Take No	genus	species	sex	age class/age	individual (name)	recording locality - circumstances	recording distance	change of rec distance in take	vocalization type(s)	behavioural context(s)	individual start	individual stop	orig rec overloaded	recording quality	editing	editor	wenn digitales Snippet, dann Verweis auf Analog
SLA + lfd.No. => AccessionNumber			Gattung (taxonom. Name)	Art (taxonom. Name)	Gender	Life stage	Identification: Notes und dort: Personal Name: z.B. Heinrich	Organismen - Circumstances	Parameter (Analysis): Distance	Parameter (Analysis) : Change of distance	Parameter (Analysis): Vocalization type	Parameter (Analysis): Call Type	Parameter (Analysis): individual start	Parameter (Analysis): individual stop	Parameter (Analysis): Overloaded	Parameter (Analysis): recording quality	Parameter (Analysis): Editing	Parameter (Analysis):Editor	
	lfd. Nr. des Tapes (dreistellig)	Nr. des Takes auf dem Tape (beginnt bei jedem Tape mit 1, dreistellig), keine blank takes listen	mehrere Tiere pro take möglich, jedes Tier auf selben take separat aufnehmen	mehrere pro take möglich, jedes Tier auf selben take separat aufnehmen	mehrere pro take möglich, jedes Tier auf selben take separat aufnehmen	juvenil bis adult, auch genaueres Alter möglich (2 Wochen)	Namen des Tieres (falls vorhanden)	mögliche Einträge (Vorgabe von DWS): bred, captivity, cultivated, experiment, imported, natural, planted, unknown	in m, kann sich aber auch während einer Aufnahme ändern, nicht immer bekannt	Tier oder Mensch haben sich bewegt, nicht immer bekannt	z.B. roaring, sawing (in englisch, nur für das jeweilige Tier)	z.B. aggression, mating, mother with cubs (nur für das jeweilige Tier)	wann das Tier auf dem take anfängt (nicht immer bekannt)	wann das Tier auf dem Take aufhört (nicht immer bekannt)	Aufnahme übersteuert ? An der Stelle des Tieres,  mit Qualifizierung (0 - no, 1 - low, 2 - moderate, 3 - high), nicht immer bekannt	Qualität der entstandenen Aufnahme, bezieht sich auf das einzelne Tier: 0 -poor, 1 - low, 2 - moderate, 3 - medium, 4 - good, 5 - very good	Bearbeitung nach der Aufnahme, an der Stelle des Tieres, yes - mit Angabe, was gemacht wurde	Person, die die Editierung vorgenommen hat	
SLA-0001	001	001	Panthera	leo	male	adult	Paul	captivity			roaring	mating			1	1	Filtering	Peters, Gustav	
SLA-0001	001	001	Panthera	tigris	male	adult	Heinrich	captivity	30	yes	roaring				2	4			
SLA-0002	002	001	Panthera	leo	female	adult	Eva	captivity	10	yes					0				
SLA-0002	002	001	Panthera	leo	female	adult	Martha	captivity	5-10	yes		mother with cubs			1				
SLA-0002	002	001	Vogel					captivity							0				
SLA-0002	002	001	Panthera	leo	male	adult	Paul	captivity							3				
SLA-0003	003	001	Panthera	tigris	female	adult	Weibchen 1	captivity							0				
SLA-0003	003	001	Panthera	tigris	male	adult	Heinrich	captivity							3				
SLA-0004	003	002	Panthera	leo			Männchen 1	captivity							0				
SLA-0004	003	002	Panthera	leo			Männchen 2								3				
