Catalog Nr.	Type status	Family	Genus Name	Species Name	Subspecies Name	Author	Date descr.	Determined by	Date det.	Host	Host Voucher	Country	Locality	Lat	Lat_dec	Long	Long_dec	Ecology	Altitude	Coll. Date	Collector	Collectors	Specimens	Gender	Notes	Conservation	last modified
ZFMK Ac00001			Acaropsis	sollers		Rohdendorf	1940	Determ1	1982	Microtus arvalis		France	Dijon							25.viii.1978	Collector 1			female		slides	16.iii.2015
ZFMK Ac00002			Aeromylichus	hylopetes		Bain	1970	Determ2	1982	Petaurista elegans		Indonesia	Japara, M. Java							31.viii.1938	Collector 2			female	Leiden 1971	slides	16.iii.2015
ZFMK Ac00003			Afrolistrophoroide	dubininae		Fain	1972	Determ3	1981	Dendromys	MNHN Paris	Central African Republic	Baiki, CAR							1966	Collector 3			male		slides	16.iii.2015
ZFMK Ac00004			Afrolistrophoroide	dubininae		Fain	1972	Determ4	1976	Deomys ferrugineus	MNHN Paris	Central African Republic	La Maboké							1966	Collector 4			female		slides	16.iii.2015
ZFMK Ac00005			Afrolistrophorus	apodemi		Fain	1970	Determ5	1980	Apodemus sylvaticus		Netherlands	Nijmegen							26.i.1983	Collector 5			male		slides	16.iii.2015
ZFMK Ac00006			Afrolistrophorus	apodemi		Fain	1970	Determ6	1980	Apodemus sylvaticus		Netherlands	Nijmegen							26.i.1983	Collector 6			male		slides	16.iii.2015
ZFMK Ac00007			Afrolistrophorus	apodemi		Fain	1970	Determ7	1980	Apodemus sylvaticus		Netherlands	Nijmegen							26.i.1983	Collector 7			female		slides	16.iii.2015
ZFMK Ac00008			Afrolistrophorus	apodemi		Fain	1970	Determ8	1974	Apodemus sylvaticus		France	Sartène, Korsica							2.vii.1978	Collector 8			male		slides	16.iii.2015
ZFMK Ac00009			Afrolistrophorus	apodemi		Fain	1970	Determ9	1980	Apodemus sylvaticus		France	Sartène, Korsica							2.vii.1978	Collector 9			female		slides	16.iii.2015
ZFMK Ac00010			Afrolistrophorus	apodemi		Fain	1970	Determ10	1974	Apodemus sylvaticus		France	Sartène, Korsica							2.vii.1978	Collector 10			female		slides	16.iii.2015
ZFMK Ac00011			Afrolistrophorus	apodemi		Fain	1970	Determ11	1980	Apodemus	Smiths. 334 382	Taiwan	Chuei-Feng								Collector 11			male		slides	16.iii.2015
ZFMK Ac00012			Afrolistrophorus	apodemi		Fain	1970	Determ12	1980	Apodemus	Smiths. 334 382	Taiwan	Chuei-Feng								Collector 12			female		slides	16.iii.2015
ZFMK Ac00013			Afrolistrophorus	bothae		Hirst	1923	Determ13		Aethomis bocagel	MNHN Paris	Zaire	Pointe noire							x.1962	Collector 13			male		slides	16.iii.2015
ZFMK Ac00014			Afrolistrophorus	bothae		Hirst	1923	Determ14		Aethomis bocagel	MNHN Paris	Zaire	Pointe noire							x.1962	Collector 14			female		slides	16.iii.2015
ZFMK Ac00015			Afrolistrophorus	concinnus		Fain	1970	Determ15	1974	Legadda rutilans	Paris 553	Central African Republic	Boukoko							xi.1963	Collector 15			male		slides	16.iii.2015
ZFMK Ac00016			Afrolistrophorus	concinnus		Fain	1970	Determ16	1973	Mus muscoloides		Liberia	Gengema							20.x.1970	Collector 16			female	Eing. Nr. A69/71	slides	16.iii.2015
ZFMK Ac00017			Afrolistrophorus	congoicola		Fain	1971	Determ17	1977	Dendromys acraeus	Smiths. 184 682	Kenya	Kaimosi							1909	Collector 17			female		slides	16.iii.2015
ZFMK Ac00018			Afrolistrophorus	congoicola		Fain	1971	Determ18	1976	Praomys tullbergi	Smiths. 166 114	Kenya	Mt. Kenya							1909	Collector 18			female		slides	16.iii.2015
ZFMK Ac00019			Afrolistrophorus	congoicola		Fain	1971	Determ19	1976	Praomys tullbergi	Smiths. 166 114	Kenya	Mt. Kenya							1909	Collector 19			female		slides	16.iii.2015
ZFMK Ac00020			Afrolistrophorus	congoicola		Fain	1971	Determ20	1976	Praomys tullbergi	Smiths. 166 114	Kenya	Mt. Kenya							1909	Collector 20			male		slides	16.iii.2015
ZFMK Ac00021			Afrolistrophorus	congoicola		Fain	1971	Determ21	1977		Paris 18-847		Mt Elgon							5.i.1933				male		slides	16.iii.2015
ZFMK Ac00022			Afrolistrophorus	dasymys		Fain	1970	Determ22	1973	Dasymys incomptus		Liberia	Harbel							1.x.1970	Collector 2			male	Eing. Nr. A69/71	slides	16.iii.2015
ZFMK Ac00023			Afrolistrophorus	dasymys		Fain	1970	Determ23	1973	Dasymys incomptus		Liberia	Mabahn-Kaba							6.i.1971	Collector 2			female	Eing. Nr. A69/71	slides	16.iii.2015
ZFMK Ac00024			Afrolistrophorus	dipodicola		Traegardh	1904	Determ24	1978	Gerbillus campestris		Morocco	Ou klad Teima (Ouled Teïma)							15.iii.1975	Collector 2			male		slides	16.iii.2015
ZFMK Ac00025			Afrolistrophorus	dipodicola		Traegardh	1904	Determ25	1978	Gerbillus campestris		Morocco	Ou klad Teima (Ouled Teïma)							15.iii.1975	Collector 2			female		slides	16.iii.2015
ZFMK Ac00026			Afrolistrophorus	dipodicola		Traegardh	1904	Determ26	1974	Gerbillus andersoni	SMF 28968	Egypt	El Alamain							19.viii.1965	Collector 2			male		slides	16.iii.2015
ZFMK Ac00027			Afrolistrophorus	dipodicola		Traegardh	1904	Determ27	1974	Gerbillus binomi	SMF 9660	Tunesia	Gabes, Tunis							1898	Collector 2			female		slides	16.iii.2015
ZFMK Ac00028			Afrolistrophorus	dipodicola	tataerae	Fain	1971	Determ28	1983	Tatera vicinia iconica	Smiths 165 926	Kenia	Banso Nyiro							ix.1909	Collector 2			mixed		slides	16.iii.2015
ZFMK Ac00029			Afrolistrophorus	dipodicola	tataerae	Fain	1971	Determ29	1983	Tatera vicinia iconica	Smiths 165 926	Kenia	Banso Nyiro							ix.1909	Collector 2			mixed		slides	16.iii.2015
ZFMK Ac00030			Afrolistrophorus	dipodicola	tataerae	Fain	1971	Determ30	1983	Tatera vicinia iconica	Smiths 165 926	Kenia	Banso Nyiro							ix.1909	Collector 2			mixed		slides	16.iii.2015
ZFMK Ac00031			Afrolistrophorus	dipodicola	tataerae	Fain	1971	Determ31	1976	Tatera vicinia iconica	Smiths 165 926	Kenia	N. Guaso Nyiro							ix.1909	Collector 2			male		slides	16.iii.2015
ZFMK Ac00032			Afrolistrophorus	dipodicola	tataerae	Fain	1971	Determ32	1976	Tatera vicinia iconica	Smiths 165 926	Kenia	N. Guaso Nyiro							ix.1909	Collector 2			female		slides	16.iii.2015
ZFMK Ac00033			Afrolistrophorus	dipodicola	theodori	Radford	1954	Determ33	1974	Meriones shawi	SMF 28960	Tunesia	Mrhila							21.ix.1961	Collector 3			male		slides	16.iii.2015
ZFMK Ac00034			Afrolistrophorus	dipodicola	theodori	Radford	1954	Determ34	1974	Meriones shawi	SMF 28960	Tunesia	Mrhila							21.ix.1961	Collector 3			male		slides	16.iii.2015
ZFMK Ac00035			Afrolistrophorus	inca		Fain	1976	Determ35	1982	Lestoros inca	Chicago 75587	Peru	Cuzco							17.x.1977	Collector 3			male		slides	16.iii.2015
