Catalog Nr.	Type status	Order	Family	Genus Name	Species Name	Author	Date descr.	Determined by	Date det.	Country	Locality	Lat	Long	Lat_dec	Long_dec	coord_uncertainty_flag	Ecology	Altitude	Depth	Date	Collector	Collectors	Specimens	Notes	Host	last modified
ZFMK Cr00001		Amphipoda	Gammaridae	Dexamine	sp.					Greece	Kreta O	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector1	Collector1		Schwämme + (?)	Schwämme + (?)	31.iii.2015
ZFMK Cr00002		Amphipoda	Gammaridae	Amphilochus	neapolitanus	Della Valle	1893			Greece	Kreta SO	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector2	Collector2		Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00003		Amphipoda	Gammaridae	Hyale	schmidti	Heller	1866			Greece	Kreta SO	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector3	Collector3		Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00004		Amphipoda	Corophiidae	Ampithoe	ramondi	Audouin	1826			Greece	Kreta SO	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector4	Collector4		Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00005		Amphipoda	Corophiidae	Jassa	marmorata	Holmes	1905			Greece	Kreta SO	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector5	Collector5		Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00006		Amphipoda	Gammaridae	Stenothoe	monoculoides	Montagu	1815			Greece	Kreta O	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector6	Collector6		auf Padina pavonica	Padina pavonica	31.iii.2015
ZFMK Cr00007		Amphipoda	Gammaridae	Apherusa	bispinosa	Bate	1857			Greece	Kreta SO	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector7	Collector7		auf Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00008		Amphipoda	Aoridae	gen.	sp.					Greece	Kreta O, (?)	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector8	Collector8				31.iii.2015
ZFMK Cr00009		Amphipoda	Corophiidae	Lembos	websteri	Bate	1856			Greece	Kreta O	~ 35.09	~ 24.88	35,09	24,88	ca.				1976	Collector9	Collector9		auf Padina pavonica	Padina pavonica	31.iii.2015
ZFMK Cr00010		Amphipoda	Gammaridae (?)							Greece	Kreta	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector10	Collector10		in Mischfauna		31.iii.2015
ZFMK Cr00011		Amphipoda	Corophiidae	Ampithoe	ramondi	Audouin	1826			Greece	Kreta SO	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector11	Collector11		auf Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00012		Amphipoda	Corophiidae	Jassa	marmorata	Holmes	1905			Greece	Kreta	~ 35.09	~ 24.88	35,09	24,88	ca.				1976	Collector12	Collector12				31.iii.2015
ZFMK Cr00013		Amphipoda	Gammaridae	Pereionotus	testudo	Montagu	1808			Greece	Kreta O	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector13	Collector13		auf Padina pavonica	Padina pavonica	31.iii.2015
ZFMK Cr00014		Amphipoda	Gammaridae	Apherusa	bispinosa	Bate	1857			Greece	Kreta SO	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector14	Collector14		auf Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00015		Amphipoda	Corophiidae	Gammaropsis	crenulata	Krapp-Schickel & Myers	1979			Greece	Kreta O	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector15	Collector15		auf Padina pavonica	Padina pavonica	31.iii.2015
ZFMK Cr00016		Amphipoda	Corophiidae	Jassa	marmorata	Holmes	1905			Greece	Kreta SO	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector16	Collector16		auf Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00017		Amphipoda	Gammaridae	Amphilochus	neapolitanus	Della Valle	1893			Greece	Kreta SO	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector17	Collector17		auf Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00018		Amphipoda	Corophiidae	Podocerus	variegatus	Leach	1814			Greece	Kreta SO	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector18	Collector18		auf Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00019		Amphipoda	Gammaridae	Lysianassa	costae	H. Milne Edwards	1830			Greece	Kreta O	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector19	Collector19		auf Padina pavonica	Padina pavonica	31.iii.2015
ZFMK Cr00020		Amphipoda	Gammaridae	Hyale	schmidti	Heller	1866			Greece	Kreta O	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector20	Collector20		auf Padina pavonica	Padina pavonica	31.iii.2015
ZFMK Cr00021		Amphipoda	Corophiidae	Podocerus	variegatus	Leach	1814			Greece	Kreta O	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector21	Collector21		auf Padina pavonica	Padina pavonica	31.iii.2015
ZFMK Cr00022		Amphipoda	Gammaridae	Ampelisca	rubella	A. Costa	1864			Greece	Kreta O	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector22	Collector22		auf Padina pavonica	Padina pavonica	31.iii.2015
ZFMK Cr00023		Amphipoda	Gammaridae	Dexamine	spiniventris	Costa	1853			Greece	Kreta O	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector23	Collector23		auf Padina pavonica	Padina pavonica	31.iii.2015
ZFMK Cr00024		Amphipoda	Corophiidae	Sunamphitoe	pelagica	H. Milne Edwards	1830			Greece	Kreta SO	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector24	Collector24		auf Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00025		Amphipoda	Gammaridae	Stenothoe	monoculoides	Montagu	1815			Greece	Kreta SO	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector25	Collector25		auf Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00026		Amphipoda	Corophiidae	Ischyrocerus	inexpectatus	Ruffo	1959			Greece	Kreta O	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector26	Collector26		Corallina + Schwämme(?)	Corallina + Schwämme(?)	31.iii.2015
ZFMK Cr00027		Amphipoda	Corophiidae	Ampithoe	riedli(?)					Greece	Kreta O	~ 35.09	~ 24.88	35,09	24,88	ca.	Küste				Collector27	Collector27		Corallina + Schwämme(?)	Corallina + Schwämme(?)	31.iii.2015
ZFMK Cr00028		Amphipoda	Corophiidae	Gammaropsis	crenulata	Krapp-Schickel & Myers	1980			Greece	Kreta O	~ 35.09	~ 24.88	35,09	24,88	ca.				1976	Collector28	Collector28		auf Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00029		Amphipoda	Gammaridae	Stenothoe	monoculoides	Montagu	1815			Greece	Kreta SO	~ 35.09	~ 24.88	35,09	24,88	ca.					Collector29	Collector29		auf Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00030		Amphipoda	Gammaridae	Maera	grossimana	Montagu	1808			Italy	Ischia, St. Anna, G.v. Napoli						Geröll, Kies				Collector30	Collector30				31.iii.2015
ZFMK Cr00031		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, G. v. Napoli										Collector31	Collector31		Amphiottussand (?)		31.iii.2015
ZFMK Cr00032		Amphipoda	Gammaridae	Maera	inaequipes	Costa	1857			Italy	Ischia, Pasidonia, ganginni, Menina										Collector32	Collector32				31.iii.2015
ZFMK Cr00033		Amphipoda	Gammaridae	Gammarella	fucicola	Leach	1814			Italy	Ischia-ponte, G. v. Napoli						Algen				Collector33	Collector33				31.iii.2015
ZFMK Cr00034		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, G. v. Napoli										Collector34	Collector34		Amphiottussand (?)		31.iii.2015
ZFMK Cr00035		Amphipoda	Gammaridae	Elasmopus	pocillimanus	Bate	1862			Italy	Ischia-ponte, G. v. Napoli										Collector35	Collector35		auf Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00036		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, Maronti, G.v. Napoli						Kies + Grobsand				Collector36	Collector36				31.iii.2015
ZFMK Cr00037		Amphipoda	Gammaridae	Melita	bulla	Karaman	1978			Italy	Ischia, G. v. Napoli										Collector37	Collector37		Amphiottussand (?)		31.iii.2015
ZFMK Cr00038		Amphipoda	Gammaridae	Elasmopus	pocillimanus	Bate	1862			Italy	Ischia, St. Anna, G.v. Napoli						Geröll, Kies				Collector38	Collector38				31.iii.2015
