Catalog Nr.	Type status	Family	Genus Name	Species Name	Author	Date descr.	Determined by	Date det.	Host	Host Voucher	Country	Locality	Lat	Lat_dec	Long	Long_dec	Ecology	Altitude	Coll. Date	Collector	Specimens	Gender	Notes	last modified
ZFMK Ps00001											Ivory Coast	Riv. Bagoé/Guingéréni	9.32'N	9.32	6.36'W	-6.36			14.ii.-13.iii.1983	C.Collector	1		Lichtfang 5	19.iii.2015
ZFMK Ps00002											Ivory Coast	Riv. Bagoé/Guingéréni	9.32'N	9.32	6.36'W	-6.36			14.ii.-13.iii.1983	C.Collector	2		Block 2	19.iii.2015
ZFMK Ps00003											Ivory Coast	Riv. Bagoé/Guingéréni	9.32'N	9.32	6.36'W	-6.36			14.ii.-13.iii.1983	C.Collector	13		BF Sav. Kont.; 19	19.iii.2015
ZFMK Ps00004											Ivory Coast	Badenou S Mbingué	9.50'N	9.50	5.50'W	-5.50			xi.-xii.1983	C.Collector	12		GW oben	19.iii.2015
ZFMK Ps00005											Ivory Coast	Riv. Bagoé/Guingéréni	9.32'N	9.32	6.36'W	-6.36			14.ii.-13.iii.1983	C.Collector	1			19.iii.2015
ZFMK Ps00006											Ivory Coast	Riv. Bagoé/Guingéréni	9.32'N	9.32	6.36'W	-6.36			8.iii.1983	C.Collector	7		T1 GWS	19.iii.2015
ZFMK Ps00007											Ivory Coast	Riv. Bagoé/Guingéréni	9.32'N	9.32	6.36'W	-6.36			14.ii.-13.iii.1983	C.Collector 1, B. Collector 2	3		Block 2	19.iii.2015
ZFMK Ps00008											Ivory Coast	Riv. Bagoé/Guingéréni	9.32'N	9.32	6.36'W	-6.36			8.iii.1983	C.Collector 1, B. Collector 2	1		T1 GWS	19.iii.2015
ZFMK Ps00009											Ivory Coast	Riv. Bagoé/Guingéréni							3.-17.iii.1983	C.Collector 1, B. Collector 2	8		BF3, Sav D+P	19.iii.2015
ZFMK Ps00010											Ivory Coast	Riv. Bagoé/Guingéréni	9.32'N	9.32	6.36'W	-6.36			21.ii.1983	C.Collector 1, B. Collector 2	1			19.iii.2015
ZFMK Ps00011											Ivory Coast	Bandama							23.iii.-7.iv.1984	C.Collector 1, B. Collector 2	4		BF7	19.iii.2015
ZFMK Ps00012											Ivory Coast	Riv. Bagoé/Guingéréni							1.-16.iii	C.Collector 1, B. Collector 2	16		BF2 Sav D	19.iii.2015
ZFMK Ps00013											Burkina Faso	Dérégoué							10.i.-25.ii.1983	C.Collector 1, B. Collector 2	7		Savanne unbelastet	19.iii.2015
ZFMK Ps00014											Cameroon	Adamaoua	6.49'N	6.49	12.52'E	12.52		1200	ii.1980	C.Collector 1, B. Collector 2	1		Bodenfalle Galeriewald	19.iii.2015
ZFMK Ps00015											Burkina Faso	Dérégoué	10.79'N	10.79	4.08'W	4.08			ii.-iv.1985	D.Collector 4, Collector6	3		Savanne am Koba	19.iii.2015
ZFMK Ps00016											Ivory Coast	Badenou S Mbingué	9.50'N	9.50	5.50'W	-5.50			xi.-xii.1983	D.Collector 4, Collector6	10			19.iii.2015
ZFMK Ps00017											Cameroon	Adamaoua, ca. 20 km S von Minim	6.49'N	6.49	12.52'E	12.52		1200	xi.-xii.1979	D.Collector 4, Collector6	5		Bodenfalle Galeriewald	19.iii.2015
ZFMK Ps00018											Cameroon	Adamaoua, ca. 20 km S von Minim	6.49'N	6.49	12.52'E	12.52		1200	xi.-xii.1979	D.Collector 4, Collector6	2			19.iii.2015
ZFMK Ps00019											Ivory Coast	Badenou S Mbingué	9.50'N	9.50	5.50'W	-5.50			xi.-xii.1983	D.Collector 4, Collector6	25		Hang quer	19.iii.2015
ZFMK Ps00020											Cameroon	Adamaoua, ca. 20 km S von Minim	6.49'N	6.49	12.52'E	12.52		1200		D.Collector 4, Collector6	2			19.iii.2015
ZFMK Ps00021											Cameroon	Adamaoua, ca. 20 km S von Minim	6.49'N	6.49	12.52'E	12.52		1200		D.Collector 4, Collector6	2			19.iii.2015
ZFMK Ps00022											Cameroon	Adamaoua, ca. 20 km S von Minim	6.49'N	6.49	12.52'E	12.52		1200		D.Collector 4, Collector6	4			19.iii.2015
ZFMK Ps00023											Kenya	Langata	1°20'S	-1.33333	36°46'E	36.76667		1650	i.-ii.1999	D.Collector 4, Collector6	1		ICIPE Property	19.iii.2015
ZFMK Ps00024											Ivory Coast	Badenou/Mbingué							7.xi.-18.xii.1982	D.Collector 4, Collector6	2		HO2	19.iii.2015
ZFMK Ps00025											Ivory Coast	Badenou S Mbingué	9.50'N	9.50	5.50'W	-5.50			xi.-xii.1983	D.Collector 4, Collector6	5			19.iii.2015
ZFMK Ps00026											Uganda	District Masindi, Budongo Forest n Sonso	1°45'N	1.75	31°35'E	31.58333			11.-20.vii.1995	D.Collector 4, Collector6	1			19.iii.2015
ZFMK Ps00027											Uganda	District Masindi, Budongo Forest n Sonso	1°45'N	1.75	31°35'E	31.58333			21.-31.vii.1995	D.Collector 4, Collector6	1			19.iii.2015
ZFMK Ps00028											Uganda	District Masindi, Budongo Forest n Sonso	1°45'N	1.75	31°35'E	31.58333			1.-10.vii.1995	D.Collector 4, Collector6	1			19.iii.2015
ZFMK Ps00029											Uganda	District Masindi, Budongo Forest n Sonso	1°45'N	1.75	31°35'E	31.58333			21.-31.vii.1995	D.Collector 4, Collector6	1			19.iii.2015
